::1 - - [18/Aug/2021:20:40:50 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2169 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
::1 - - [18/Aug/2021:20:42:13 +0000] "POST /user/login HTTP/1.1" 500 2178 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:20:42:13 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2169 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:43:28 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2169 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:43:45 +0000] "POST /user/login HTTP/1.1" 500 2178 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:43:45 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2169 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:47:34 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2169 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:47:49 +0000] "POST /user/login HTTP/1.1" 500 2178 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:47:49 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2169 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:48:51 +0000] "POST /user/login HTTP/1.1" 500 2178 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:48:51 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2169 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:55:00 +0000] "POST /user/login HTTP/1.1" 500 2178 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:55:00 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2169 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:56:54 +0000] "POST /user/login HTTP/1.1" 500 2171 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:56:54 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2162 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:57:51 +0000] "POST /user/login HTTP/1.1" 500 2145 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:22:57:51 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2136 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:00:24 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
